n_estimators,max_depth,learning_rate,subsample,colsample_bytree,reg_lambda,mean_icir,std_score
300,4,0.03,0.9,0.7,10.0,0.05742088455371361,0.27053984261845754
200,3,0.05,0.9,0.7,20.0,0.0570530274894631,0.2944829094664853
300,5,0.1,0.7,0.7,20.0,0.05602615342645313,0.24829120470325852
500,3,0.05,0.9,0.7,20.0,0.05572359662537438,0.2773663047524121
200,3,0.05,0.9,0.7,10.0,0.05530325450461247,0.19180640189026743
200,4,0.03,0.9,0.7,10.0,0.05441487103061968,0.2733551297362505
500,3,0.1,0.7,0.7,5.0,0.053255910080492075,0.20377629988459847
500,4,0.03,0.9,0.7,10.0,0.05302302920990601,0.27629289644781
200,3,0.03,0.7,0.7,10.0,0.052403220101893605,0.20226104213716772
300,4,0.03,0.9,1.0,20.0,0.052193058692889205,0.2351360562979295
500,3,0.03,0.9,0.7,20.0,0.05183970411209154,0.19576542570397695
200,3,0.1,0.7,0.7,20.0,0.051272887248421745,0.25285762671165496
300,3,0.03,0.7,0.7,10.0,0.05088780551789098,0.20586016896998036
500,3,0.1,0.7,0.7,20.0,0.05061013413587792,0.2662178025035661
300,3,0.1,0.7,0.7,20.0,0.04992200070869514,0.2563425067028702
500,5,0.1,0.7,0.7,10.0,0.04950109162498906,0.2720476873990707
200,4,0.1,0.9,0.7,10.0,0.04900597033308399,0.2834884924711002
500,3,0.1,0.7,1.0,10.0,0.048505742054229056,0.30009702289848933
200,4,0.03,0.9,1.0,20.0,0.048199147174376164,0.23251437268512892
300,3,0.1,0.7,0.7,5.0,0.04798095512684101,0.19501902587023912
500,4,0.03,0.7,0.7,20.0,0.045799195186153885,0.30880611451623075
300,4,0.1,0.9,0.7,10.0,0.0450940827711898,0.278084664999188
300,3,0.03,0.9,0.7,20.0,0.044936522929353094,0.18957235244978163
500,4,0.03,0.7,1.0,10.0,0.043632734465064764,0.2665609398465737
200,3,0.1,0.7,0.7,5.0,0.04355283903198065,0.20062724728638795
300,4,0.03,0.7,0.7,20.0,0.040984681763960334,0.3119319699927108
300,3,0.1,0.7,0.7,10.0,0.04022494389772843,0.2707739643613145
300,4,0.03,0.7,1.0,10.0,0.0400397613048963,0.26803950435833673
200,3,0.03,0.9,0.7,20.0,0.03981165246077341,0.1850060360812743
200,3,0.03,0.7,0.7,5.0,0.03941064520529403,0.17466822252232786
500,3,0.1,0.7,0.7,10.0,0.03918086217849265,0.28664239586394724
200,4,0.03,0.7,0.7,20.0,0.038099332054003635,0.3130649781157977
200,3,0.1,0.7,0.7,10.0,0.03756854325505429,0.2782841839147284
200,4,0.03,0.7,1.0,10.0,0.03710676831188178,0.2726063995242149
500,3,0.03,0.7,0.7,10.0,0.03678943853878551,0.20991765732591547
300,3,0.1,0.7,1.0,10.0,0.036544700734925495,0.3039388076446583
500,3,0.03,0.7,0.7,5.0,0.03582147498851749,0.1818376387835161
200,3,0.1,0.7,1.0,10.0,0.035412662837908365,0.3172352378389572
500,4,0.1,0.9,0.7,10.0,0.035250473531588444,0.2675437797022408
300,3,0.03,0.7,0.7,5.0,0.030760384362390904,0.18183266236266377
300,3,0.05,0.7,0.7,20.0,0.024439851121252604,0.27298163071893183
500,3,0.05,0.7,0.7,20.0,0.02341542381543274,0.26606953620935153
200,3,0.05,0.7,0.7,20.0,0.021187036181339644,0.2678535329993609
200,3,0.03,0.7,0.7,20.0,0.02052517238202385,0.20168315467015674
300,3,0.05,0.9,0.7,5.0,0.015340572233907335,0.23473050144327995
300,3,0.03,0.7,0.7,20.0,0.014770221475731662,0.20022096763657257
500,3,0.03,0.7,0.7,20.0,0.013265970214270256,0.1977203433859038
500,3,0.05,0.9,0.7,5.0,0.0068694752038574725,0.2335668512248437
200,3,0.05,0.9,0.7,5.0,-0.0028086224686436484,0.23080464564409064
500,4,0.1,0.7,0.7,20.0,-0.005744193225621516,0.22922441153385043
300,4,0.1,0.7,0.7,20.0,-0.011061865466658188,0.23965581382368878
200,4,0.1,0.7,0.7,20.0,-0.020090786880750888,0.23735646550866898
